
2024/08/05 (22:50:37) | ===> btop++ v.1.3.2
2024/08/05 (22:50:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (22:58:50) | ===> btop++ v.1.3.2
2024/08/05 (22:58:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (00:53:31) | ===> btop++ v.1.3.2
2024/08/06 (00:53:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (00:58:58) | ===> btop++ v.1.3.2
2024/08/06 (00:58:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (01:02:12) | ===> btop++ v.1.3.2
2024/08/06 (01:02:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (01:05:56) | ===> btop++ v.1.3.2
2024/08/06 (01:05:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (13:39:01) | ===> btop++ v.1.3.2
2024/08/06 (13:39:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (16:02:02) | ===> btop++ v.1.3.2
2024/08/06 (16:02:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (16:57:40) | ===> btop++ v.1.3.2
2024/08/06 (16:57:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (16:57:44) | ===> btop++ v.1.3.2
2024/08/06 (16:57:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (22:01:59) | ===> btop++ v.1.3.2
2024/08/06 (22:01:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (22:02:26) | ===> btop++ v.1.3.2
2024/08/06 (22:02:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (22:19:19) | ===> btop++ v.1.3.2
2024/08/06 (22:19:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (23:00:25) | ===> btop++ v.1.3.2
